GROWER  :		DOUBLE B		SHED		3 & 4																																	
NO. OF BIRDS		80000				STR ALL.          	26000	KG.																															
PLACEMENT 		3/20/2026				GWR ALL.	92000	KG.					SHED 3																										
	SHED 3	40000				FIN ALL.	136000	KG.	WDW ALL C 10				SHED 4																										
	SHED 4	40000				WDW ALL.	120000	KG.																															
																	OVERALL	% WGHT		% WGHT																			
			TOTAL													FEED	FEED	MIXED		MIXED																			
AGE	DAY	DATE	FEED	FEED 		FEED	FEED	FEED	SILO	SILOST	SILO	SILO	CATCH	BIRDS	SHED	DIFF	DISCREPANCY	SHED 1	Weight(Kg)	SHED 2	Weight(Kg)																		
		7/16/2018	DEL.	ORDERED	SILO	ALLOC.	USAGE	ON HAND	TOTAL	A	B	C	MORTS	LEFT	#							AGE																	
																																							
																																							
						26000	0	0	0																														
1	Friday, March 20, 2026		24000	24000	a	2000	#REF!	#REF!	0					80000																									
2	Saturday, March 21, 2026		24000			2000	#REF!	#REF!	0					80000			0																						
3	Sunday, March 22, 2026		24000			2000	#REF!	#REF!	0					80000			0																						
4	Monday, March 23, 2026		24000			2000	#REF!	#REF!	0					80000			0																						
5	Tuesday, March 24, 2026		24000			2000	#REF!	#REF!	0					80000			0																						
6	Wednesday, March 25, 2026		24000			2000	#REF!	#REF!	0					80000			0																						
7	Thursday, March 26, 2026		40000	16000		-14000	#REF!	#REF!	0					80000			0																						
8	Friday, March 27, 2026		40000			-14000	#REF!	#REF!	0					80000			0																						
9	Saturday, March 28, 2026		40000			-14000	#REF!	#REF!	0					80000			0																						
10	Sunday, March 29, 2026		40000			96480	#REF!	#REF!	0					80000			0																						
11	Monday, March 30, 2026		40000			92000	#REF!	#REF!	0					80000			0																						
12	Tuesday, March 31, 2026		40000			92000	#REF!	#REF!	0					80000			0																						
13	Wednesday, April 01, 2026		40000			92000	#REF!	#REF!	0					80000			0																						
14	Thursday, April 02, 2026		40000			92000	#REF!	#REF!	0					80000			0																						
15	Friday, April 03, 2026		40000			92000	#REF!	#REF!	0					80000			0																						
